"","Name","ID","Gender","Age","Country","Genres","Popularity","Followers","URI","spotify_id","name","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","is_single","days_since_release"
"73","nublu","2cNMMulo6S2a0tHrwX2s6i","male",0,"EE","['estonian pop']",44,60240,"spotify:artist:2cNMMulo6S2a0tHrwX2s6i","0FXVOQfd4q4iMkGgXbTCxp","trammipark!!",5,-3,14,"EE","2024-01-01",46,"False",152555,"trammipark!!","2023-11-30",0.867,0.622,3,-8.696,0,0.0408,0.102,0.0778,0.0796,0.921,121.999,4,TRUE,32
"74","STEIN27","2A3rmRL2kja5NoroAGdZPb","",0,"","['czech pop', 'czsk hip hop']",56,203669,"spotify:artist:2A3rmRL2kja5NoroAGdZPb","5VEXEXffwn8Tc4o45GDznd","Habibi",5,-1,29,"CZ","2024-01-01",57,"False",146938,"PRESIDENT OF SEXICO","2023-08-25",0.706,0.65,5,-7.791,0,0.249,0.0021,0.0000132,0.173,0.749,147.015,4,FALSE,129
"75","V","3JsHnjpbhX4SnySpvpa9DK","mixed",0,"","['j-division', 'korean ost']",81,16408001,"spotify:artist:3JsHnjpbhX4SnySpvpa9DK","2N0SPREDYqILVEFSsWF5N5","Love Me Again",5,0,-1,"TW","2024-01-01",89,"False",182293,"Layover","2023-08-11",0.633,0.607,0,-6.182,0,0.0532,0.183,0.00000138,0.167,0.363,74.029,4,FALSE,143
"76","V","3JsHnjpbhX4SnySpvpa9DK","mixed",0,"","['j-division', 'korean ost']",81,16408001,"spotify:artist:3JsHnjpbhX4SnySpvpa9DK","2N0SPREDYqILVEFSsWF5N5","Love Me Again",5,-4,-4,"TH","2024-01-01",89,"False",182293,"Layover","2023-08-11",0.633,0.607,0,-6.182,0,0.0532,0.183,0.00000138,0.167,0.363,74.029,4,FALSE,143
"77","V","3JsHnjpbhX4SnySpvpa9DK","mixed",0,"","['j-division', 'korean ost']",81,16408001,"spotify:artist:3JsHnjpbhX4SnySpvpa9DK","5h1BN75CEh8wdSwE1xrbSe","Slow Dancing",5,5,12,"SA","2024-01-01",90,"False",187026,"Layover","2023-09-08",0.579,0.63,8,-7.758,1,0.058,0.257,0.00462,0.0986,0.552,155.96,4,FALSE,115
"78","Canozan","4MUb8ilmrxyePXwSkG31lC","male",0,"TR","['turkish alt pop', 'turkish alternative rock', 'turkish rock']",64,435746,"spotify:artist:4MUb8ilmrxyePXwSkG31lC","0JU2QfhTrgFsVq5yQ4YQlu","Ağlama ben ağlarım",5,-1,-2,"TR","2024-01-01",79,"False",191694,"Ağlama ben ağlarım","2023-09-29",0.416,0.473,9,-9.726,0,0.0351,0.553,0.0000012,0.168,0.167,118.354,3,TRUE,94
"79","Pedro Suárez-Vértiz","3Azj8v21CQ76AVvjuNv5Vg","male",52,"PE","['peruvian rock']",52,1520536,"spotify:artist:3Azj8v21CQ76AVvjuNv5Vg","5Q2J37xbIR60z6ifswoGKe","Un Vino, Una Cerveza",5,-2,45,"PE","2024-01-01",61,"False",275826,"Degeneracion Actual","2001-04-27",0.76,0.962,11,-6.288,0,0.0375,0.066,0.0000218,0.0343,0.972,137.017,4,FALSE,8284
"80","Gobs","4ysmSq2N7badobfVT6YZ82","mixed",0,"DE","['danish hip hop', 'danish pop']",56,33687,"spotify:artist:4ysmSq2N7badobfVT6YZ82","5cNxyZy9r5f8m2L7it8ZtB","Tak For Sidst",5,1,45,"DK","2024-01-01",63,"False",154154,"Tak For Sidst","2023-06-09",0.815,0.613,7,-4.785,1,0.236,0.0897,0,0.0949,0.649,134.926,4,TRUE,206
"81","Jimin","1oSPZhvZMIrWW5I41kPkkY","female",29,"KR","['k-pop']",81,7006338,"spotify:artist:1oSPZhvZMIrWW5I41kPkkY","59hBR0BCtJsfIbV9VzCVAp","Set Me Free Pt.2",5,0,2,"KR","2024-01-01",79,"True",200929,"Set Me Free Pt.2","2023-03-17",0.585,0.815,0,-4.165,0,0.0565,0.115,0,0.124,0.564,132.09,4,TRUE,290
"82","Sia","5WUlDfRSoLAfcVSX1WnrxN","female",44,"AU","['australian dance', 'australian pop', 'pop']",84,27476664,"spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","7uoFMmxln0GPXQ0AcCBXRq","Snowman",6,-2,-5,"NO","2024-01-01",94,"False",165900,"Everyday Is Christmas (Deluxe Edition)","2018-11-01",0.716,0.512,1,-6.257,1,0.0331,0.483,0,0.0928,0.326,104.957,3,FALSE,1887
"83","Taylor Swift","06HL4z0CvFAxyc27GXpf02","female",30,"US","['pop']",100,95859165,"spotify:artist:06HL4z0CvFAxyc27GXpf02","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",6,0,0,"PH","2024-01-01",96,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,FALSE,1592
"84","Taylor Swift","06HL4z0CvFAxyc27GXpf02","female",30,"US","['pop']",100,95859165,"spotify:artist:06HL4z0CvFAxyc27GXpf02","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",6,0,2,"MY","2024-01-01",96,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,FALSE,1592
"85","Taylor Swift","06HL4z0CvFAxyc27GXpf02","female",30,"US","['pop']",100,95859165,"spotify:artist:06HL4z0CvFAxyc27GXpf02","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",6,0,44,"GB","2024-01-01",96,"False",178426,"Lover","2019-08-23",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4,FALSE,1592
"86","KAROL G","790FomKkXshlbRYZFtlgla","female",29,"CO","['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",88,42614177,"spotify:artist:790FomKkXshlbRYZFtlgla","505v13epFXodT9fVAJ6h8k","AMARGURA",6,0,2,"VE","2024-01-01",88,"True",170480,"MAÑANA SERÁ BONITO","2023-02-24",0.92,0.696,6,-3.356,0,0.0742,0.183,0,0.149,0.545,106.966,4,FALSE,311
"87","KAROL G","790FomKkXshlbRYZFtlgla","female",29,"CO","['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",88,42614177,"spotify:artist:790FomKkXshlbRYZFtlgla","505v13epFXodT9fVAJ6h8k","AMARGURA",6,0,0,"CO","2024-01-01",88,"True",170480,"MAÑANA SERÁ BONITO","2023-02-24",0.92,0.696,6,-3.356,0,0.0742,0.183,0,0.149,0.545,106.966,4,FALSE,311
